repo_id,repo_name,star_count
577452111,Rabbitminers/Extended-Bogeys,100547
132750724,codecrafters-io/build-your-own-x,88114
658928958,ollama/ollama,70636
88011908,practical-tutorials/project-based-learning,67686
21737465,sindresorhus/awesome,64955
233472199,massgravel/Microsoft-Activation-Scripts,53281
54346799,public-apis/public-apis,52879
340547520,zed-industries/zed,52516
36633370,awesome-selfhosted/awesome-selfhosted,49632
561730219,krahets/hello-algo,48617
83222441,donnemartin/system-design-primer,48446
773286980,xai-org/grok-1,47610
701547123,open-webui/open-webui,46797
85077558,kamranahmedse/developer-roadmap,45743
655806940,microsoft/generative-ai-for-beginners,44700
13491895,EbookFoundation/free-programming-books,43132
626805178,langgenius/dify,42838
21289110,vinta/awesome-python,41939
695864515,hacksider/Deep-Live-Cam,40955
808144141,DigitalPlatDev/FreeDomain,40210
589831718,comfyanonymous/ComfyUI,39929
721767116,clash-verge-rev/clash-verge-rev,39697
60493101,jwasham/coding-interview-university,38868
138393139,trimstray/the-book-of-secret-knowledge,38866
585146387,shadcn-ui/ui,38203
643445235,lobehub/lobe-chat,37366
743230067,RVC-Boss/GPT-SoVITS,36849
787637064,shardeum/shardeum,35842
655099582,mlabonne/llm-course,35373
669879380,rasbt/LLMs-from-scratch,35097
594155488,Stirling-Tools/Stirling-PDF,34445
737898780,maybe-finance/maybe,34377
718741813,abi/screenshot-to-code,33678
28457823,freeCodeCamp/freeCodeCamp,32477
699532645,astral-sh/uv,32415
806709826,2noise/ChatTTS,32153
307260205,yt-dlp/yt-dlp,32025
727213319,lizongying/my-tv,31643
527591471,AUTOMATIC1111/stable-diffusion-webui,31257
455229168,immich-app/immich,31081
290882787,FuelLabs/fuel-core,30534
806315903,karpathy/LLM101n,30486
743140652,dockur/windows,29745
725089041,myshell-ai/OpenVoice,29299
771302083,OpenDevin/OpenDevin,29291
578822531,localsend/localsend,28793
888092115,microsoft/markitdown,28005
646410686,hiyouga/LLaMA-Factory,27594
206462776,GrowingGit/GitHub-Chinese-Top-Charts,27296
231283452,excalidraw/excalidraw,27073
299354207,rustdesk/rustdesk,26825
552661142,langchain-ai/langchain,26774
772699441,meta-llama/llama3,26773
766341786,HeyPuter/puter,26125
599320067,langflow-ai/langflow,26076
338719962,KRTirtho/spotube,26039
2325298,torvalds/linux,25840
730534580,infiniflow/ragflow,25817
331107018,FuelLabs/sway,25782
